folder_path,label
D:\processed_faces\real\595,0
D:\processed_faces\real\295,0
D:\processed_faces\real\00270,0
D:\processed_faces\real\533,0
D:\processed_faces\real\00050,0
D:\processed_faces\real\087,0
D:\processed_faces\real\00073,0
D:\processed_faces\real\id10_0007,0
D:\processed_faces\real\id43_0007,0
D:\processed_faces\fake\id2_id3_0009,1
D:\processed_faces\fake\949_868,1
D:\processed_faces\real\18__secret_conversation,0
D:\processed_faces\fake\id6_id26_0004,1
D:\processed_faces\fake\id3_id1_0006,1
D:\processed_faces\real\881,0
D:\processed_faces\fake\501_326,1
D:\processed_faces\fake\01_03__kitchen_still__JZUXXFRB,1
D:\processed_faces\real\105,0
D:\processed_faces\fake\390_709,1
D:\processed_faces\fake\03_01__outside_talking_still_laughing__JZUXXFRB,1
D:\processed_faces\fake\id1_id30_0000,1
D:\processed_faces\real\582,0
D:\processed_faces\fake\732_691,1
D:\processed_faces\fake\943_942,1
D:\processed_faces\real\00121,0
D:\processed_faces\real\id12_0005,0
D:\processed_faces\real\id22_0000,0
D:\processed_faces\fake\id1_id16_0007,1
D:\processed_faces\real\id17_0007,0
D:\processed_faces\real\288,0
D:\processed_faces\real\id40_0000,0
D:\processed_faces\real\300,0
D:\processed_faces\real\676,0
D:\processed_faces\real\220,0
D:\processed_faces\fake\01_11__talking_against_wall__4OJNJLOO,1
D:\processed_faces\real\25__walk_down_hall_angry,0
D:\processed_faces\real\032,0
D:\processed_faces\fake\id3_id26_0008,1
D:\processed_faces\real\22__podium_speech_happy,0
D:\processed_faces\real\id51_0000,0
D:\processed_faces\fake\id2_id35_0003,1
D:\processed_faces\fake\id4_id37_0009,1
D:\processed_faces\fake\01_20__meeting_serious__FW94AIMJ,1
D:\processed_faces\real\id19_0000,0
D:\processed_faces\real\00102,0
D:\processed_faces\fake\01_11__hugging_happy__EKE2KNRE,1
D:\processed_faces\fake\id2_id6_0004,1
D:\processed_faces\real\id51_0009,0
D:\processed_faces\fake\02_18__exit_phone_room__OXMEEFUQ,1
D:\processed_faces\fake\03_06__podium_speech_happy__83ABVHC3,1
D:\processed_faces\real\589,0
D:\processed_faces\real\id0_0008,0
D:\processed_faces\fake\019_018,1
D:\processed_faces\fake\id9_id2_0000,1
D:\processed_faces\fake\531_549,1
D:\processed_faces\real\624,0
D:\processed_faces\real\145,0
D:\processed_faces\fake\id2_id31_0006,1
D:\processed_faces\fake\id0_id1_0005,1
D:\processed_faces\real\06__outside_talking_pan_laughing,0
D:\processed_faces\real\02__exit_phone_room,0
D:\processed_faces\real\00091,0
D:\processed_faces\real\id24_0003,0
D:\processed_faces\fake\723_704,1
D:\processed_faces\real\314,0
D:\processed_faces\real\10__outside_talking_still_laughing,0
D:\processed_faces\fake\id4_id26_0003,1
D:\processed_faces\fake\546_621,1
D:\processed_faces\real\666,0
D:\processed_faces\fake\490_534,1
D:\processed_faces\fake\537_563,1
D:\processed_faces\real\915,0
D:\processed_faces\fake\id0_id20_0005,1
D:\processed_faces\fake\862_047,1
D:\processed_faces\real\644,0
D:\processed_faces\real\id56_0004,0
D:\processed_faces\fake\id0_id9_0008,1
D:\processed_faces\real\17__walking_down_indoor_hall_disgust,0
D:\processed_faces\real\id54_0001,0
D:\processed_faces\real\15__exit_phone_room,0
D:\processed_faces\fake\id2_id31_0007,1
D:\processed_faces\fake\516_555,1
D:\processed_faces\fake\id6_id26_0008,1
D:\processed_faces\real\336,0
D:\processed_faces\fake\id4_id30_0004,1
D:\processed_faces\real\20__walking_and_outside_surprised,0
D:\processed_faces\real\id10_0001,0
D:\processed_faces\real\183,0
D:\processed_faces\fake\071_054,1
D:\processed_faces\real\23__talking_angry_couch,0
D:\processed_faces\real\06__hugging_happy,0
D:\processed_faces\fake\462_467,1
D:\processed_faces\real\911,0
D:\processed_faces\real\00173,0
D:\processed_faces\fake\977_075,1
D:\processed_faces\fake\886_877,1
D:\processed_faces\fake\01_11__meeting_serious__WIZ7GKOD,1
D:\processed_faces\fake\id3_id2_0004,1
D:\processed_faces\fake\449_451,1
D:\processed_faces\fake\id9_id0_0008,1
D:\processed_faces\real\id32_0006,0
D:\processed_faces\real\272,0
D:\processed_faces\real\05__kitchen_still,0
D:\processed_faces\fake\987_938,1
D:\processed_faces\real\id47_0003,0
D:\processed_faces\real\00122,0
D:\processed_faces\real\270,0
D:\processed_faces\real\378,0
D:\processed_faces\real\271,0
D:\processed_faces\fake\213_083,1
D:\processed_faces\real\222,0
D:\processed_faces\real\id50_0007,0
D:\processed_faces\fake\520_542,1
D:\processed_faces\fake\01_04__hugging_happy__GBC7ZGDP,1
D:\processed_faces\real\22__walking_and_outside_surprised,0
D:\processed_faces\fake\id1_id17_0007,1
D:\processed_faces\fake\528_510,1
D:\processed_faces\real\id57_0009,0
D:\processed_faces\fake\id6_id23_0008,1
D:\processed_faces\real\05__walk_down_hall_angry,0
D:\processed_faces\real\id13_0011,0
D:\processed_faces\real\id43_0008,0
D:\processed_faces\real\00048,0
D:\processed_faces\fake\id1_id9_0006,1
D:\processed_faces\real\id25_0007,0
D:\processed_faces\real\00295,0
D:\processed_faces\real\00061,0
D:\processed_faces\fake\539_499,1
D:\processed_faces\fake\id4_id0_0000,1
D:\processed_faces\fake\01_26__outside_talking_pan_laughing__ZMEJ535O,1
D:\processed_faces\fake\01_12__outside_talking_pan_laughing__TNI7KUZ6,1
D:\processed_faces\fake\809_799,1
D:\processed_faces\fake\id4_id21_0008,1
D:\processed_faces\real\370,0
D:\processed_faces\fake\155_576,1
D:\processed_faces\real\00241,0
D:\processed_faces\real\492,0
D:\processed_faces\fake\766_761,1
D:\processed_faces\real\475,0
D:\processed_faces\real\13__walk_down_hall_angry,0
D:\processed_faces\fake\957_959,1
D:\processed_faces\real\603,0
D:\processed_faces\fake\id2_id6_0002,1
D:\processed_faces\real\id49_0003,0
D:\processed_faces\real\895,0
